Full Name;Passport Number;Date of Birth;Nationality;Visa Type;Arrival Date;Departure Date;Immigration Status
Christopher Rodriguez;372212745;2002-06-16;Zambia;Student;2002-03-15;2017-10-02;Expired
Angela Mclaughlin;545308836;1969-11-03;Iraq;Tourist;2019-12-20;2018-12-10;Expired
Shelley Dawson;994574035;2004-12-16;Saint Pierre and Miquelon;Tourist;2020-08-10;2001-03-21;Valid
Michelle Lawson;753842828;1956-05-21;Pitcairn Islands;Tourist;2014-03-03;2003-05-01;Expired
Lindsey Gates;293103310;2001-04-23;Niger;Student;2022-03-18;2008-08-13;Expired
Brett Reid;666656805;1983-06-28;Sao Tome and Principe;Student;2011-10-18;2009-04-01;Valid
Nicole Graham;262656228;1957-03-05;Bangladesh;Work;2023-05-27;2008-01-31;Valid
James Evans;756714965;2003-08-17;Georgia;Diplomatic;2021-12-25;2006-05-08;Valid
Brian Mcmillan II;146359002;1994-03-06;Lesotho;Student;2009-04-18;2018-11-06;Pending
Monica Erickson;366156604;2001-01-13;Georgia;Student;2019-03-01;2016-05-26;Valid
Mary Williams;469907553;1970-06-30;French Guiana;Work;2010-07-28;2019-03-20;Pending
Dennis Wilson;124309372;2002-12-16;Central African Republic;Student;2005-02-03;2018-05-06;Pending
Terry Sanchez;739609149;1955-01-20;Kyrgyz Republic;Student;2022-09-16;2020-12-27;Pending
Eddie Hunter DDS;264967426;1961-08-12;Faroe Islands;Student;2005-02-24;2019-11-01;Valid
Amber Morales;989382369;1966-04-07;Mexico;Diplomatic;2018-12-16;2021-10-15;Valid
Jennifer Nichols;145675948;1987-03-17;Western Sahara;Tourist;2002-05-17;2010-01-22;Pending
Justin Jackson;389782415;1953-03-26;Somalia;Work;2020-10-02;2018-07-23;Pending
Nicholas Green;516704231;1969-09-18;Guinea-Bissau;Tourist;2003-11-02;2018-05-21;Expired
Anna Williams;328053308;1966-04-22;Tanzania;Tourist;2021-08-10;2002-03-07;Pending
Diana Adams;192593970;1980-07-11;Holy See (Vatican City State);Work;2001-01-21;2002-06-27;Pending
Katherine Curry;322361701;1996-08-24;Ghana;Student;2004-02-22;2013-10-15;Valid
Christopher Jackson;597285754;1957-09-28;Singapore;Diplomatic;2007-08-22;2013-04-18;Valid
Dr. Thomas Bender Jr.;759748275;1967-04-19;Grenada;Work;2010-05-11;2008-03-03;Valid
Penny Douglas;655228423;1963-06-14;Italy;Work;2004-01-02;2003-12-13;Expired
Christina Hawkins;434495099;1957-01-22;Chad;Student;2014-09-23;2007-12-10;Valid
Edwin Walton;277655337;1982-10-31;Namibia;Tourist;2003-04-02;2018-04-08;Valid
Claudia Sherman;220927150;1960-06-28;Romania;Work;2005-06-13;2011-08-04;Expired
Christopher Dixon;880551932;2001-08-05;Yemen;Work;2023-01-14;2005-06-11;Expired
David Nielsen;909947333;2005-08-31;Guyana;Diplomatic;2003-11-06;2012-08-21;Pending
Katie Harrell;732998276;1998-05-15;Mexico;Student;2022-07-11;2010-02-22;Valid
Sarah Vaughn;578792249;1975-12-19;Timor-Leste;Tourist;2004-06-07;2020-12-19;Valid
Edward Allen;240110700;1998-03-09;Saint Barthelemy;Diplomatic;2013-05-28;2016-08-28;Pending
Kathryn Vazquez;196681660;1970-03-20;Vietnam;Work;2009-09-20;2004-04-02;Valid
Justin Simon;701515080;1962-04-20;Peru;Diplomatic;2023-02-08;2017-01-07;Pending
Nathan Williamson;25795217;2003-02-09;Isle of Man;Tourist;2003-07-27;2007-08-11;Valid
Brenda Price;895569766;1972-12-04;Libyan Arab Jamahiriya;Tourist;2020-05-02;2013-12-04;Valid
Mark Anderson;442618710;1981-07-14;Jamaica;Work;2022-07-19;2019-10-17;Valid
Michaela Ramos;658557707;1972-04-17;Kiribati;Diplomatic;2020-08-10;2001-01-13;Pending
Kimberly Patton;783601159;1972-03-10;Austria;Student;2014-06-04;2020-09-13;Expired
Michael Pope;445309098;1956-04-01;United States of America;Student;2001-05-02;2020-01-18;Expired
William Byrd;401974040;2005-09-13;Czech Republic;Work;2018-04-15;2010-09-15;Expired
Karina Williams;71846782;1986-01-29;Wallis and Futuna;Diplomatic;2012-03-05;2008-10-16;Valid
Zachary Collins;621627007;1991-01-31;Iceland;Work;2000-06-25;2003-09-09;Pending
Melvin Howard;981532934;1969-03-05;Costa Rica;Student;2008-08-31;2000-11-15;Pending
Jeffrey Ingram;981960624;1957-02-17;Denmark;Diplomatic;2001-03-28;2000-01-14;Expired
Curtis Armstrong;814370304;1984-02-29;Suriname;Diplomatic;2005-07-20;2010-09-03;Expired
Megan Thompson;200349260;1990-02-25;Bermuda;Work;2002-01-15;2010-02-02;Expired
Mary Johnson;627723430;1982-08-26;Sierra Leone;Work;2012-02-29;2006-02-18;Valid
Christopher Brown;169243399;1997-12-30;Liechtenstein;Work;2014-10-01;2010-02-25;Pending
Katherine Hughes;490316383;1956-06-21;Chad;Student;2002-07-19;2008-07-14;Expired
Marie Barton;214837993;1964-12-18;Sweden;Work;2001-02-19;2019-04-29;Valid
Wendy Garrett;569587968;1952-12-24;Lesotho;Work;2021-07-01;2007-10-13;Expired
Derek Burton;394794962;1969-04-19;Timor-Leste;Diplomatic;2015-04-17;2019-04-04;Expired
Mr. Joseph Caldwell;492132248;1955-12-20;Luxembourg;Student;2020-01-24;2014-02-02;Expired
Joseph Figueroa;493179004;2000-01-23;Tonga;Tourist;2013-03-04;2020-12-03;Expired
Jasmine Thompson;301671295;1957-01-22;Guinea-Bissau;Tourist;2019-04-08;2011-08-19;Pending
Anthony Hunt;938570754;2005-06-01;Venezuela;Diplomatic;2019-03-02;2014-12-26;Expired
Lindsay Harper;680012261;1984-06-07;Guinea;Student;2009-05-25;2012-04-29;Expired
Karen Watkins;629028025;1969-02-17;Kuwait;Work;2005-01-21;2022-09-02;Pending
Jacqueline Davis;434112265;2001-09-02;Kiribati;Diplomatic;2016-06-22;2013-07-06;Valid
Debbie Henderson;674939429;1977-04-13;Heard Island and McDonald Islands;Tourist;2022-03-29;2008-06-15;Expired
Lee Mason;135345267;1999-06-27;Gambia;Work;2021-12-23;2020-03-03;Valid
Cory Fuller;454321635;1962-01-30;Hungary;Diplomatic;2003-08-04;2016-07-29;Pending
Kevin Kramer;524341969;2003-10-01;Cyprus;Work;2017-05-28;2016-01-06;Valid
Mr. Craig Leonard DVM;520390162;1967-05-26;United States Virgin Islands;Diplomatic;2006-05-23;2010-04-03;Pending
David David;883401750;1962-09-05;Iceland;Student;2022-10-19;2002-08-09;Valid
Jessica Foster;787443115;1959-04-21;Gabon;Work;2018-07-18;2007-01-31;Expired
Kristen Smith;82846689;1958-05-28;Portugal;Diplomatic;2013-02-21;2017-11-22;Valid
Lauren Robles;477385048;1972-10-13;Lebanon;Student;2004-09-05;2023-08-07;Valid
Michelle Silva;506994208;1978-08-23;Holy See (Vatican City State);Tourist;2005-10-12;2002-01-27;Expired
Chris Vasquez;387155196;1981-01-31;Morocco;Diplomatic;2002-05-17;2022-01-18;Valid
Taylor Wilson DDS;459542034;1987-01-21;Turkmenistan;Tourist;2005-06-29;2013-10-21;Pending
April Petersen;985777303;1987-06-17;Algeria;Student;2014-12-01;2017-11-14;Valid
Matthew Wong;900795162;2004-06-17;Lao People's Democratic Republic;Student;2016-06-11;2021-06-19;Expired
Ashley Johnson;25866434;1969-01-15;Czech Republic;Work;2003-12-04;2001-11-22;Expired
James Hall;677257443;1973-01-31;Sudan;Work;2003-02-06;2018-07-10;Pending
Jason Atkinson;548819261;1976-01-17;Suriname;Diplomatic;2020-05-24;2009-05-14;Pending
Karen Bartlett;144663089;1959-04-09;France;Student;2020-02-11;2020-07-13;Valid
Kathryn Davis;374141920;1988-02-21;Romania;Tourist;2020-11-06;2018-07-13;Valid
Donald Mccoy;818209755;1967-03-04;Cote d'Ivoire;Diplomatic;2013-10-02;2002-10-10;Valid
Kyle Harper;314953597;1991-09-23;Tokelau;Student;2005-06-28;2001-07-24;Valid
Jason Lucas;458983206;1998-09-23;Qatar;Diplomatic;2017-07-17;2020-09-24;Expired
Travis Wilson;743453428;1994-08-13;Costa Rica;Tourist;2000-08-13;2017-07-04;Pending
Mrs. Michelle Williams;322026712;1967-10-19;Cayman Islands;Tourist;2016-01-16;2008-07-10;Valid
Jennifer Brown;246695871;1999-03-19;Suriname;Tourist;2018-08-22;2019-09-27;Valid
Lauren Huffman;516161164;1989-10-20;Comoros;Student;2001-12-16;2013-10-07;Pending
Michele Clark;469167159;1986-09-03;United States Virgin Islands;Student;2011-10-04;2000-01-31;Expired
Brooke Goodman;992263825;1955-12-14;France;Student;2001-04-08;2008-07-09;Pending
Justin Mccarthy;224241839;1960-11-07;Burundi;Student;2001-12-08;2013-08-14;Pending
Christopher Williams;120271973;1979-01-02;Puerto Rico;Work;2013-02-22;2018-03-14;Expired
Heidi Henry;138661418;1957-07-24;Martinique;Work;2004-11-10;2021-02-04;Expired
Jessica Dunn;131518062;1965-06-23;Samoa;Work;2014-04-14;2019-06-12;Pending
Mrs. Patricia Richardson;432294628;2001-04-11;Algeria;Diplomatic;2013-09-03;2007-11-18;Valid
Susan Johnson;336536420;2004-08-17;Slovenia;Work;2022-03-06;2016-07-14;Pending
Vincent Torres;836994079;1956-11-02;Djibouti;Student;2016-07-09;2008-08-28;Expired
Joseph Davis;867813982;1970-05-11;Guatemala;Work;2023-08-20;2005-10-13;Pending
Dave Ramos;212685886;1968-05-03;Antarctica (the territory South of 60 deg S);Diplomatic;2019-08-01;2019-11-20;Expired
Lisa Koch;967611253;1962-04-25;Bosnia and Herzegovina;Student;2010-04-08;2005-08-29;Expired
John Garcia;475689971;1996-03-23;Greenland;Diplomatic;2021-09-08;2003-03-02;Expired
Cameron Spencer;707561405;1954-10-29;Marshall Islands;Work;2021-11-18;2009-09-02;Pending
Kathleen Pitts;88004622;1972-06-19;Nepal;Diplomatic;2021-07-17;2017-01-24;Valid
Michelle Horn;592408469;1967-09-02;Bermuda;Student;2014-09-12;2017-01-08;Pending
Jose Orr;992840500;1963-10-15;South Georgia and the South Sandwich Islands;Student;2006-03-08;2002-02-20;Valid
Kimberly Wood;446732820;1986-04-05;Holy See (Vatican City State);Tourist;2011-07-07;2001-07-25;Valid
Francis Brown;296744737;2004-11-25;Saint Barthelemy;Tourist;2008-12-01;2011-01-07;Pending
Sylvia Berry;727356044;1975-10-30;Colombia;Work;2017-09-02;2009-05-16;Expired
Kayla Fletcher;234977962;1954-09-30;Zambia;Work;2008-08-20;2019-02-21;Pending
Jeffrey Ellis;685258861;1996-07-02;Gibraltar;Diplomatic;2015-04-26;2020-07-16;Expired
Jamie Rivera;246603730;1994-10-23;Romania;Work;2001-08-18;2019-04-22;Expired
Anna Richardson;6608335;1991-07-26;Congo;Student;2015-08-19;2016-04-17;Expired
David Rodriguez;472014812;2000-06-03;Mauritius;Work;2003-02-20;2014-03-01;Pending
Eduardo Chandler;917912374;1966-02-19;South Georgia and the South Sandwich Islands;Tourist;2000-02-13;2008-01-06;Valid
Joseph Hicks;866232951;2001-09-26;Guyana;Work;2017-09-07;2010-11-01;Valid
Jenna Peterson;91347084;1968-05-06;Nigeria;Tourist;2013-11-18;2014-02-05;Valid
Kenneth Vargas;442128512;1971-12-10;Guernsey;Diplomatic;2014-09-08;2006-07-18;Pending
Maria Walker;334740002;1954-08-08;Iran;Student;2010-05-31;2020-04-08;Expired
Brittney Walter;974210965;1967-05-19;Angola;Work;2017-08-25;2021-09-23;Expired
Victoria Perez;440412666;1956-08-09;Northern Mariana Islands;Student;2023-09-24;2005-09-02;Pending
Angela West;337225025;1979-07-09;Honduras;Student;2002-06-29;2013-07-26;Pending
Louis Cox;142860220;1990-03-07;Faroe Islands;Diplomatic;2020-11-19;2018-02-28;Expired
Pamela Martin;304098470;2005-06-15;Luxembourg;Work;2022-06-13;2007-02-21;Valid
Carolyn Houston;195231422;1980-08-24;Slovakia (Slovak Republic);Tourist;2003-12-17;2017-06-26;Valid
Catherine Martinez;283604917;1984-12-19;Lesotho;Tourist;2019-10-01;2016-10-16;Valid
Brendan Williams;23691252;1974-02-26;Brazil;Diplomatic;2018-10-11;2015-06-15;Expired
Natalie Levy;34626415;1975-02-10;Jersey;Tourist;2008-03-02;2022-10-21;Pending
Lauren Clark;48914658;1974-10-16;Jersey;Tourist;2022-04-02;2023-02-02;Expired
Danielle Smith;757265198;1953-03-17;Israel;Diplomatic;2013-08-16;2004-12-09;Expired
Cassandra Diaz;888861982;1989-03-23;Luxembourg;Tourist;2004-10-10;2020-05-07;Expired
Alexandra Cox;880854080;1974-11-05;San Marino;Diplomatic;2010-05-24;2002-11-26;Valid
Amy Wilson;869492256;2005-08-21;Niger;Tourist;2002-11-09;2005-05-16;Valid
Caitlin Green;366025312;1954-12-07;Grenada;Diplomatic;2016-08-16;2022-03-16;Expired
Stacy Schultz;426547009;2000-07-13;Barbados;Diplomatic;2023-02-15;2009-03-16;Pending
Bradley Campbell;723061458;1968-02-17;Palau;Work;2005-02-01;2010-01-07;Valid
Michael Thomas;273318932;2003-08-19;Sweden;Work;2005-02-20;2004-11-20;Pending
Larry Ferguson;527942682;2003-10-23;Georgia;Diplomatic;2009-04-22;2011-02-14;Expired
Jasmine Sanchez;223990872;1978-01-17;Australia;Diplomatic;2015-08-17;2001-12-28;Expired
Thomas Avila Jr.;184683151;1977-01-23;Greece;Tourist;2012-04-08;2016-07-14;Expired
Jason Carter;200372649;1953-09-18;Myanmar;Diplomatic;2002-10-21;2000-02-16;Pending
John Ortiz;34187556;1953-12-27;Germany;Student;2011-09-08;2002-06-27;Expired
Richard Mccarty;207534165;1990-11-26;Liechtenstein;Work;2019-04-15;2014-02-25;Expired
Danielle Marks;156704986;1966-04-11;Cyprus;Work;2013-06-24;2011-09-30;Pending
Matthew Mitchell;157334525;1955-05-07;France;Tourist;2015-01-25;2004-09-06;Valid
Eric Dunn;871979516;1970-03-01;Christmas Island;Student;2020-03-14;2010-03-10;Pending
David Johnson;257263610;1983-11-07;Saint Kitts and Nevis;Diplomatic;2009-02-02;2009-07-08;Expired
Sarah Wade;671142962;1977-03-20;South Africa;Work;2019-02-03;2020-06-16;Pending
Tracey Turner;345702863;1960-05-21;Turks and Caicos Islands;Work;2023-04-13;2012-03-27;Pending
James Jensen;691149712;1967-08-21;Armenia;Diplomatic;2014-07-30;2001-06-17;Expired
Brian Hansen;286814648;1982-02-28;Heard Island and McDonald Islands;Diplomatic;2009-03-26;2017-09-13;Pending
Jason Liu;361342247;1960-03-11;Saudi Arabia;Work;2005-05-29;2005-06-29;Valid
Jeremy Carroll;847389597;1991-06-20;Papua New Guinea;Student;2004-05-03;2018-09-17;Valid
Lisa Rose;533242059;2003-10-31;Trinidad and Tobago;Tourist;2019-01-20;2009-07-20;Valid
Scott Berry;438212089;1959-04-17;Kuwait;Tourist;2020-01-15;2004-12-26;Valid
David Cruz;397735191;1976-02-17;Serbia;Tourist;2007-03-22;2022-07-28;Valid
Joyce Hayes MD;395905577;1958-05-02;Belgium;Diplomatic;2002-03-16;2006-01-30;Pending
Benjamin Baker;152867829;1999-12-05;Liberia;Tourist;2010-01-15;2014-01-22;Valid
Barbara Reyes;805842601;1976-02-28;Saint Pierre and Miquelon;Work;2014-09-27;2005-12-10;Expired
Gina Barber;644550354;1983-08-22;Tajikistan;Tourist;2004-11-05;2006-02-17;Pending
Courtney Armstrong;761774263;1996-05-25;Lithuania;Work;2003-01-06;2008-03-17;Pending
Clarence Gutierrez;784524782;2004-07-29;Saint Pierre and Miquelon;Tourist;2009-04-26;2022-05-31;Pending
Emma Compton;536149969;1987-01-08;Uruguay;Student;2018-08-19;2013-06-28;Valid
Robin Williamson;15380729;2002-06-27;Mauritania;Tourist;2005-04-09;2000-09-15;Pending
Jordan Adams;427222686;1995-07-14;Jordan;Work;2014-01-14;2013-05-24;Valid
Kathleen Rodriguez;963690888;1983-12-03;Latvia;Student;2012-07-15;2005-11-04;Valid
Joseph Castillo;350015581;1990-12-04;El Salvador;Work;2016-08-15;2014-03-25;Pending
Felicia Elliott;86459450;1983-12-14;Ukraine;Student;2005-05-26;2015-08-26;Expired
Mary Robinson;811860035;1988-08-06;Moldova;Work;2004-05-23;2012-02-06;Expired
Alexander Huerta;305110609;1963-11-26;Croatia;Tourist;2012-06-28;2019-02-02;Pending
Rachel Hawkins;193049821;1979-09-08;Georgia;Work;2003-09-25;2001-02-05;Expired
Elizabeth Duncan;335713679;1990-05-29;United States Virgin Islands;Diplomatic;2023-10-15;2019-11-01;Valid
Julie Solis;156653845;1990-08-21;Romania;Diplomatic;2014-08-27;2012-11-12;Valid
Ashley Gill;648932358;1976-02-19;Ecuador;Diplomatic;2009-10-19;2003-05-26;Valid
Deborah Allen;41457781;1975-12-18;Sao Tome and Principe;Tourist;2021-09-20;2015-10-31;Expired
Brian Bartlett;993927413;1955-05-04;Lao People's Democratic Republic;Tourist;2020-11-10;2019-12-05;Pending
Tiffany Diaz;594449640;1953-05-09;Christmas Island;Diplomatic;2004-01-28;2003-02-02;Expired
Molly Blair;13271817;1966-10-31;India;Work;2002-08-31;2002-12-07;Valid
Robert Curry;247627076;1983-01-09;Cyprus;Student;2003-09-22;2009-10-08;Valid
Jake Allen;940045243;1992-02-06;Kenya;Tourist;2007-09-03;2014-03-25;Pending
Mr. Troy Lin;186199655;2005-01-08;Saint Martin;Diplomatic;2020-06-08;2016-04-16;Expired
Frank Murphy;388142096;1956-02-19;Costa Rica;Work;2011-07-10;2012-07-23;Expired
Diana Ramos;31716294;1974-05-20;Italy;Diplomatic;2001-08-14;2012-11-22;Valid
Larry Walton;383289029;1992-05-23;Tokelau;Work;2013-09-12;2014-01-18;Expired
Robin Young;38749979;1975-05-10;Suriname;Student;2003-04-08;2023-06-25;Pending
Lisa Jackson;608740151;1957-02-09;Kazakhstan;Work;2012-09-07;2005-01-14;Valid
Kristen Cobb;909440849;1961-11-26;Malawi;Student;2023-03-07;2003-08-25;Pending
Jessica Richardson;341050452;1980-07-09;Egypt;Student;2008-03-13;2013-01-28;Valid
Travis Hill;218735751;2002-12-09;Belize;Tourist;2022-12-01;2023-06-25;Valid
Mrs. Heather Thompson;537778239;1955-11-12;Kuwait;Diplomatic;2007-09-07;2005-10-06;Expired
Anita Osborne;160163131;1973-02-12;Luxembourg;Work;2017-07-29;2013-08-17;Expired
Dale Perez;590807495;1967-11-20;Uruguay;Student;2007-12-09;2006-08-05;Pending
Martin Morris;389679868;1996-05-21;Guatemala;Diplomatic;2014-11-20;2007-07-08;Pending
Jonathan Richardson;995513614;1958-04-09;Samoa;Diplomatic;2017-03-21;2021-10-06;Valid
Eric Miller;757305650;1954-04-15;Bangladesh;Diplomatic;2017-11-10;2012-04-26;Pending
Melissa Snow;242954146;1976-10-01;Martinique;Diplomatic;2020-03-18;2009-10-19;Expired
Veronica Marshall;684163807;1984-12-15;Kazakhstan;Work;2006-09-25;2003-06-29;Expired
Phillip Byrd;139722949;1985-03-04;Panama;Tourist;2022-02-03;2018-06-16;Valid
Lacey Cantrell;760808979;1953-11-26;Trinidad and Tobago;Tourist;2013-09-15;2003-12-05;Expired
Yolanda Gill;140741521;1987-06-24;British Indian Ocean Territory (Chagos Archipelago);Diplomatic;2001-01-06;2012-05-11;Valid
Timothy Hayes;638218944;1982-07-31;Niger;Diplomatic;2009-08-12;2011-10-29;Pending
Denise Wyatt;565114500;1996-06-22;Central African Republic;Student;2015-04-30;2006-04-01;Valid
Kyle Rodriguez;70329500;1975-01-29;Maldives;Tourist;2007-01-12;2015-01-07;Expired
Charles Garcia;374301068;1987-06-21;Palau;Work;2009-11-11;2000-12-06;Valid
Traci Aguilar;79143290;1978-10-28;Gambia;Work;2004-01-31;2023-08-16;Pending
Alexandria Choi;796073431;1965-07-19;Lithuania;Tourist;2010-05-29;2010-08-04;Pending
Nicole Bowen DDS;711328910;1992-02-18;Netherlands;Work;2016-12-11;2005-04-10;Expired
Todd Winters;494636781;2005-07-22;Greece;Work;2019-08-19;2001-06-16;Pending
Alfred Munoz;517368952;1979-10-13;Guatemala;Tourist;2006-01-21;2008-03-19;Pending
Adam May;50541722;1957-03-18;Georgia;Diplomatic;2018-12-16;2008-10-29;Expired
Joshua Romero;293602174;1993-05-22;Czech Republic;Tourist;2019-02-04;2023-09-24;Valid
Susan Thompson;58540207;1999-04-07;Pakistan;Diplomatic;2000-08-30;2008-07-24;Expired
Dustin Duffy;428321797;2003-12-18;Mongolia;Work;2017-11-03;2000-01-17;Expired
Alyssa Wilson;984934899;1986-03-17;Cocos (Keeling) Islands;Student;2005-09-14;2001-08-01;Valid
Mike Ruiz;238356151;1970-07-05;Faroe Islands;Work;2005-04-07;2023-02-22;Pending
Gregory Valenzuela;464948311;2004-11-05;Ghana;Tourist;2008-03-07;2023-06-16;Valid
Daniel Campbell PhD;162489145;1961-11-23;Falkland Islands (Malvinas);Diplomatic;2008-09-15;2017-02-04;Expired
Matthew Jones;594364370;1966-05-24;Malaysia;Work;2009-05-24;2015-06-15;Expired
Mrs. Nancy Frazier;210214984;1983-11-20;Vietnam;Work;2017-01-09;2003-10-23;Expired
Tyler Wong;426248438;2003-08-04;French Polynesia;Work;2020-08-17;2023-05-18;Pending
Cynthia Vega;313237460;1968-04-13;Uzbekistan;Tourist;2015-05-28;2000-07-03;Pending
Melanie Franklin;192172007;1955-12-27;Kyrgyz Republic;Work;2007-04-18;2010-07-16;Pending
Karen Giles;24525156;1967-10-28;Iran;Work;2014-05-16;2020-08-15;Pending
Kimberly Brewer;410401271;2002-10-29;Kazakhstan;Tourist;2006-05-31;2022-07-29;Pending
James Medina;661577451;1954-11-01;Gambia;Tourist;2020-08-17;2009-12-18;Expired
Tracey Wallace;106605562;1960-12-06;Georgia;Student;2000-08-28;2004-03-22;Expired
Tina Jones;668272202;1967-11-13;Brazil;Student;2017-11-15;2001-01-01;Expired
Kathleen Mason;534900381;2005-05-17;Bahrain;Tourist;2000-04-11;2014-01-17;Pending
Nicholas Davis Jr.;651011043;1987-11-19;Congo;Student;2001-06-26;2012-02-03;Expired
Daniel Hudson;558501581;1989-07-22;Saint Martin;Work;2011-01-03;2005-10-14;Expired
Nicholas Johnson;58981188;1963-11-10;Netherlands Antilles;Work;2007-01-24;2016-11-27;Pending
John Sims;836461974;2003-04-12;Finland;Student;2019-11-01;2023-08-21;Valid
Thomas Mccarthy;809111782;1960-12-19;Finland;Tourist;2002-03-15;2023-08-03;Expired
Kimberly Reyes;274404828;1958-12-29;Palestinian Territory;Student;2015-05-19;2003-05-11;Valid
Thomas Harris;669582126;1999-02-08;Slovakia (Slovak Republic);Diplomatic;2004-12-04;2016-05-29;Valid
Nancy Ortiz;644178597;1969-07-16;Guam;Tourist;2022-04-21;2020-06-16;Expired
Ronald Hickman;378331680;1968-02-13;Sao Tome and Principe;Student;2013-01-30;2014-05-21;Expired
James Allen;948146912;1968-01-14;Estonia;Diplomatic;2019-04-09;2014-07-19;Pending
Pedro Smith;701000841;1954-02-19;Taiwan;Student;2001-05-01;2019-04-25;Expired
Crystal Baker;967456707;1981-11-08;Norfolk Island;Tourist;2016-01-04;2002-05-21;Valid
Tami Smith;751865802;2000-11-04;Cote d'Ivoire;Work;2010-08-05;2016-01-02;Pending
Joshua Schmidt;379306218;1962-06-24;Belarus;Tourist;2006-12-25;2013-07-27;Expired
Lisa Carpenter;125181217;2002-10-16;Marshall Islands;Work;2006-07-11;2002-07-12;Valid
Richard Wong;426688919;1979-11-03;Bhutan;Student;2014-01-26;2010-07-08;Valid
Chris Acosta;527292581;1991-01-10;Saudi Arabia;Diplomatic;2012-02-28;2002-08-06;Pending
Susan Patterson;213642549;1965-11-01;Bulgaria;Student;2005-01-08;2020-11-11;Pending
Brian Nielsen;167223831;1997-07-04;Taiwan;Work;2016-10-30;2012-03-17;Expired
Ashley Clayton;67968310;1981-01-08;Comoros;Student;2013-10-18;2017-04-04;Expired
Timothy Perkins;634604949;1985-08-01;Sao Tome and Principe;Tourist;2006-05-22;2002-01-27;Expired
Jerry Sellers;940488841;1966-05-16;Mali;Student;2013-07-14;2014-06-06;Pending
Brooke Anderson;230199073;1969-03-11;Dominican Republic;Work;2003-01-04;2000-04-01;Pending
Maria Baird DVM;232779522;1995-10-22;Belgium;Diplomatic;2006-09-24;2012-06-06;Valid
Sandra Taylor;682837859;1976-03-16;Puerto Rico;Tourist;2022-09-13;2023-04-19;Valid
Alexander Gray;668967051;1973-11-08;Benin;Diplomatic;2009-12-15;2011-05-14;Pending
Nicholas Olson;373895639;1990-12-29;Dominica;Tourist;2008-03-04;2004-07-30;Valid
Danielle Bennett;565729263;1999-07-07;Romania;Tourist;2006-11-16;2018-05-27;Valid
Gary Carter;393164520;1969-04-13;Indonesia;Diplomatic;2023-08-28;2020-07-12;Valid
Ryan Neal;24616143;1980-01-06;Thailand;Work;2005-05-25;2005-05-10;Pending
Amber Knight;959382109;1954-04-08;Equatorial Guinea;Diplomatic;2005-12-08;2006-07-12;Expired
Jennifer Hudson;777998082;1983-03-29;Bermuda;Diplomatic;2011-03-02;2000-05-12;Pending
Richard Moss;603158788;1978-08-10;Armenia;Diplomatic;2016-09-13;2000-06-19;Valid
Vanessa Gomez;274086720;1997-05-02;Madagascar;Work;2021-08-25;2023-09-06;Valid
Mark Hoover;126824898;1986-07-08;Yemen;Tourist;2012-01-10;2019-01-07;Pending
Madison Reed;249646625;1992-06-22;Kyrgyz Republic;Student;2000-05-15;2009-04-15;Valid
Tony Phillips;317272770;1954-04-26;India;Work;2004-05-15;2016-11-08;Expired
Rebecca Wilson;319314647;1976-12-21;Ukraine;Diplomatic;2012-08-07;2005-01-10;Expired
Ashley Taylor;486795978;1982-08-09;Marshall Islands;Student;2007-12-31;2022-06-07;Pending
Michael Martin;96020717;1998-11-18;Philippines;Work;2001-07-03;2017-01-12;Valid
Amy Robles MD;31748102;1974-03-13;Turkmenistan;Diplomatic;2018-03-17;2013-10-22;Expired
Dorothy Glover;173268218;1991-05-03;Haiti;Tourist;2009-10-20;2017-03-23;Valid
Charles Jacobs PhD;586469711;1968-09-29;Ecuador;Diplomatic;2005-11-27;2001-01-24;Pending
Alexander Robinson;486005958;1983-05-17;Montenegro;Work;2011-01-04;2021-11-06;Expired
Michael Bradley;606809950;1999-02-15;Cambodia;Tourist;2011-08-21;2014-11-16;Expired
Christian Huynh;264279452;1971-11-19;Niger;Student;2006-09-18;2001-09-25;Pending
Sean Eaton;555495592;2003-11-10;Saint Helena;Student;2012-01-06;2004-12-05;Valid
Theresa Murphy;632300752;1995-12-01;Moldova;Student;2012-11-23;2007-08-11;Pending
Catherine Shepard;613220680;1956-05-24;Niger;Work;2022-01-19;2014-06-26;Expired
Kevin Owens;972053874;1999-04-28;Panama;Work;2011-09-20;2002-05-03;Valid
Laura Gross;12989697;1962-03-16;Azerbaijan;Student;2012-04-27;2016-04-17;Expired
Charles Sawyer;291490841;1957-10-27;Suriname;Diplomatic;2019-08-01;2006-01-19;Pending
Marcus Lowe;168421148;1970-11-18;Tokelau;Student;2020-03-15;2011-11-02;Pending
Luis Reese;80895258;1954-07-26;United States Virgin Islands;Diplomatic;2022-05-01;2019-10-16;Expired
Brooke Brown;194101372;1970-06-30;United States Minor Outlying Islands;Diplomatic;2010-09-20;2013-08-08;Pending
Jennifer Boyd;792239618;1953-11-19;Antarctica (the territory South of 60 deg S);Student;2020-11-17;2011-11-02;Pending
Mary Smith;915075639;1994-03-15;Grenada;Tourist;2020-05-07;2015-08-14;Pending
Andrew Sanchez;485493116;1963-04-12;Niue;Work;2011-01-19;2005-04-03;Valid
Jason Robinson;889117650;1988-11-30;Netherlands;Student;2019-10-15;2022-03-30;Expired
Brooke Schroeder;919209115;1984-07-15;Benin;Tourist;2015-06-11;2001-10-19;Expired
